10022903,Literary,59.1
10022905,Literary,76
10022906,Literary,64.6
10022907,Literary,60.9
10022908,Literary,77.9
10022909,Literary,88.3
10022914,Literary,66.7
10022915,Literary,71.1
10022919,Literary,74.7
10022920,Literary,68.3
10022923,Literary,66.3
10022924,Literary,75.6
10022925,Literary,55.6
10022929,Literary,75.4
10022931,Literary,88.9
10022932,Literary,87.6
10022933,Literary,60.9
10022934,Literary,95.7
10022937,Literary,62.9
10022938,Literary,60.9
10022942,Literary,56.4
10022945,Literary,75.3
10022947,Literary,93.7
10022948,Literary,51.6
10022955,Literary,86.9
10022961,Literary,77.7
10022962,Literary,57.1
10022963,Literary,78.9
10022964,Literary,77.7
10022966,Literary,59.7
10022969,Literary,78.6
10022970,Literary,63.3
10022971,Literary,56.7
10022973,Literary,61.4
10022974,Literary,66.9
10022978,Literary,56.7
10022980,Literary,68.3
10022982,Literary,85.9
10022983,Literary,62.1
10022990,Literary,52
10022997,Literary,73.7
10022998,Literary,70.9
10022999,Literary,75.3
10023000,Literary,59.6
10023001,Literary,83.1
10023002,Literary,60.9
10023003,Literary,77
10023005,Literary,53.9
10023007,Literary,74.9
10023015,Literary,69
10023016,Literary,65.1
10023017,Literary,54.3
10023018,Literary,66.3
10023023,Literary,57.6
10023025,Literary,56.4
10023026,Literary,70
10023031,Literary,90.3
10023032,Literary,61
10023034,Literary,84.3
10023035,Literary,92
10023039,Literary,77.3
10023042,Literary,73.3
10023043,Literary,83.1
10023045,Literary,64.6
10023047,Literary,92.7
10023048,Literary,64.6
10023049,Literary,68.7
10023052,Literary,59
10023053,Literary,61
10023056,Literary,76.9
10023057,Literary,74.9
10023061,Literary,65.6
10023066,Literary,71.4
10023068,Literary,76.6
10023069,Literary,63.7
10023070,Literary,72.3
10023073,Literary,70.1
10023074,Literary,62.1
10023076,Literary,63.6
10023080,Literary,86.9
10023081,Literary,64.7
10023082,Literary,65
10023083,Literary,61.9
10023085,Literary,71.4
10023087,Literary,70.7
10023088,Literary,55.7
10023096,Literary,80.7
10023097,Literary,53.6
10023098,Literary,56.6
10023100,Literary,83.4
10023101,Literary,54.9
10023103,Literary,73.3
10023104,Literary,63.3
10023106,Literary,83.6
10023108,Literary,62.7
10023109,Literary,62.3
10023111,Literary,54.6
10023115,Literary,73.7
10023116,Literary,55.6
10023118,Literary,65
10023119,Literary,75.3
10023121,Literary,62
10023122,Literary,66.1
10023123,Literary,63.9
10023124,Literary,52.6
10023125,Literary,77.9
10023127,Literary,74.1
10023128,Literary,76
10023129,Literary,82.4
10023130,Literary,74.3
10023131,Literary,85.7
10023132,Literary,56.9
10023133,Literary,61.6
10023134,Literary,73.6
10023135,Literary,87.3
10023137,Literary,67.1
10023138,Literary,91.6
10023140,Literary,87.7
10023141,Literary,60.1
10023142,Literary,68.1
10023144,Literary,80.4
10023145,Literary,83.3
10023149,Literary,52.3
10023150,Literary,77
10023151,Literary,91.6
10023152,Literary,60.6
10023153,Literary,77.7
10023154,Literary,63.7
10023155,Literary,82.7
10023157,Literary,58.7
10023159,Literary,71
10023160,Literary,71.6
10023162,Literary,76.1
10023163,Literary,85.3
10023165,Literary,81
10023167,Literary,77.7
10023170,Literary,64.4
10023171,Literary,74.9
10023172,Literary,64.7
10023178,Literary,81.9
10023179,Literary,75.6
10023194,Literary,65.4
10023198,Literary,61
10023199,Literary,55.6
10023201,Literary,78
