31101103,Literary,67.7
31101105,Literary,66.1
31101106,Literary,60.6
31101107,Literary,80.3
31101109,Literary,61.6
31101110,Literary,73.7
31101114,Literary,57.9
31101117,Literary,59.6
31101121,Literary,72
31101123,Literary,57.3
31101125,Literary,75.3
31101126,Literary,67.6
31101128,Literary,80.1
31101130,Literary,86.4
31101133,Literary,73.9
31101134,Literary,75.4
31101136,Literary,52.6
31101137,Literary,75.1
31101142,Literary,54.4
31101148,Literary,66.9
31101149,Literary,61.7
31101150,Literary,52.4
31101151,Literary,75.7
31101152,Literary,59.9
31101154,Literary,78.7
31101155,Literary,68.9
31101156,Literary,75.7
31101158,Literary,88.9
31101159,Literary,85
31101160,Literary,73.1
31101161,Literary,54
31101162,Literary,59.7
31101166,Literary,68.3
31101169,Literary,63.6
31101177,Literary,71.3
31101182,Literary,62.7
31101183,Literary,67.9
31101186,Literary,60.6
31101188,Literary,55.4
31101189,Literary,71.9
31101190,Literary,63.1
31101191,Literary,85.1
31101192,Literary,59.4
31101194,Literary,57.1
31101195,Literary,64.7
31101196,Literary,70.3
31101199,Literary,83.9
31101201,Literary,55.7
31101204,Literary,73
31101205,Literary,67.4
31101211,Literary,82.6
31101214,Literary,72.3
31101215,Literary,54.6
31101217,Literary,72.6
31101218,Literary,69.1
31101221,Literary,59.3
31101225,Literary,68.7
31101226,Literary,68.7
31101227,Literary,76.1
31101229,Literary,62.6
31101230,Literary,58.7
31101231,Literary,58.9
31101241,Literary,72.9
31101244,Literary,75.3
31101248,Literary,77
31101250,Literary,67.4
31101251,Literary,58.3
31101252,Literary,79.3
31101254,Literary,89.9
31101255,Literary,57
31101256,Literary,70.9
31101259,Literary,78.3
31101261,Literary,76
31101265,Literary,68.3
31101266,Literary,74.4
31101270,Literary,68.1
31101271,Literary,77.3
31101272,Literary,67.1
31101273,Literary,65.3
31101274,Literary,60.4
31101278,Literary,58.1
31101279,Literary,71.1
31101281,Literary,69.4
31101283,Literary,57
31101284,Literary,79.9
31101285,Literary,66.4
31101287,Literary,75.1
31101288,Literary,74.3
31101289,Literary,61.4
31101290,Literary,66.6
31101298,Literary,84
31101299,Literary,52.3
31101300,Literary,67.1
31101302,Literary,71.1
31101303,Literary,75
31101308,Literary,58.9
31101310,Literary,62.4
31101311,Literary,59.9
31101313,Literary,70.4
31101315,Literary,57
31101318,Literary,68.3
31101319,Literary,65.9
31101321,Literary,73.1
31101323,Literary,71.3
31101325,Literary,58.7
31101327,Literary,66.9
31101334,Literary,61
31101336,Literary,71
31101337,Literary,86.7
31101338,Literary,57
31101342,Literary,70
31101346,Literary,74.1
31101347,Literary,71
31101348,Literary,81.7
31101349,Literary,66.9
31101350,Literary,63.4
31101351,Literary,69.1
31101352,Literary,54.6
31101356,Literary,68.6
31101358,Literary,67.4
31101360,Literary,71.9
31101361,Literary,65.4
31101362,Literary,59.4
31101363,Literary,70.4
31101367,Literary,60.4
31101369,Literary,72.4
31101370,Literary,62.3
31101372,Literary,52.4
31101374,Literary,57
31101382,Literary,73.1
31101384,Literary,66.7
31101385,Literary,75.1
31101386,Literary,75.3
31101387,Literary,82.1
31101388,Literary,65.6
31101391,Literary,78.4
31101395,Literary,70.1
31101397,Literary,65.9
31101398,Literary,69.1
31101402,Literary,53.9
31101405,Literary,63.4
31101408,Literary,77.7
31101409,Literary,60.3
31101414,Literary,59
31101416,Literary,59.3
31101420,Literary,75.1
31101423,Literary,64.3
31101426,Literary,64.9
31101428,Literary,60.6
31101430,Literary,84.3
31101432,Literary,65.3
31101433,Literary,58.6
31101435,Literary,57.9
31101436,Literary,73.7
31101438,Literary,69.1
31101440,Literary,80.3
31101441,Literary,66
31101442,Literary,54.9
31101443,Literary,66.9
31101444,Literary,82.3
31101445,Literary,68.1
31101446,Literary,58.6
31101449,Literary,63.9
31101450,Literary,83.1
31101451,Literary,51.1
31101452,Literary,65.7
31101459,Literary,60.9
31101461,Literary,59.1
31101462,Literary,69.9
31101467,Literary,67
31101468,Literary,61.9
31101475,Literary,70
31101476,Literary,88.9
31101477,Literary,58.4
31101479,Literary,79.7
31101480,Literary,68.7
31101482,Literary,85.5
31101483,Literary,62.3
31101486,Literary,85
31101487,Literary,62
31101489,Literary,81.6
31101490,Literary,66.1
31101491,Literary,82
31101492,Literary,65.7
31101493,Literary,67.7
31101494,Literary,85
31101496,Literary,56.6
31101497,Literary,72.6
31101499,Literary,60.3
31101501,Literary,72.3
31101506,Literary,80.4
31101507,Literary,82
31101510,Literary,78.7
31101514,Literary,82.7
31101515,Literary,89
31101517,Literary,77.3
31101518,Literary,68.3
31101521,Literary,85.6
31101526,Literary,77
31101530,Literary,78.3
31101531,Literary,96.3
31101532,Literary,78.7
31101534,Literary,78.3
31101536,Literary,79.1
31101537,Literary,61.3
